id  ,Rank  ,Name                       ,Profession                                                                 ,Sector        ,Age  ,Influence ,Reach ,Twitter Followers ,Picture
68  ,68.0  ,Joy Buolamwini             ,Computer Scientist                                                         ,STEM          ,29.0 ,153.4     ,10.39 ,19374.0           ,https://i.kinja-img.com/theroot100/2019/Joy.Buolamwini.jpg
69  ,69.0  ,Bassey Ikpi                ,"Writer, Author"                                                           ,Arts          ,43.0 ,150.7     ,9.45  ,28462.0           ,https://i.kinja-img.com/theroot100/2019/bassey.ikpi.jpg
70  ,70.0  ,Candice Elder              ,Founder at East Oakland Collective                                         ,Community     ,35.0 ,150.2     ,6.1   ,717.0             ,https://i.kinja-img.com/theroot100/2019/candice.elder.jpg
71  ,71.0  ,Elie Mystal                ,Executive Editor of Above the Law                                          ,Media         ,41.0 ,150.0     ,9.38  ,77809.0           ,https://i.kinja-img.com/theroot100/2019/elie.mystal.jpg
72  ,72.0  ,Henri Pierre-Jacque        ,Managing Partner at Harlem Capital                                         ,Business      ,26.0 ,148.2     ,7.74  ,2106.0            ,https://i.kinja-img.com/theroot100/2019/henri.pierre.jacques.jpg
73  ,73.0  ,Candice Payne              ,"Entrepreneur, Philanthropist"                                             ,Community     ,34.0 ,146.5     ,5.24  ,0.0               ,https://i.kinja-img.com/theroot100/2019/candice.payne2_ytcj0a.jpg
74  ,74.0  ,Jemele Hill                ,"Journalist, Podcast Host"                                                 ,Media         ,43.0 ,146.6     ,12.03 ,1181178.0         ,https://i.kinja-img.com/theroot100/2019/jemele.hill.jpg
75  ,75.0  ,Ta-Nehisi Coates           ,"Writer, Author"                                                           ,Arts          ,43.0 ,143.8     ,9.68  ,20375.0           ,https://i.kinja-img.com/theroot100/2019/ta-nehisi.coates.jpg
76  ,76.0  ,Wayman Banner              ,Stylist                                                                    ,Entertainment ,36.0 ,143.6     ,6.52  ,0.0               ,https://i.kinja-img.com/theroot100/2019/wayman.bannerman.jpg
77  ,77.0  ,Lorin Crawford             ,STEM                                                                       ,STEM          ,28.0 ,143.6     ,6.51  ,539.0             ,https://i.kinja-img.com/theroot100/2019/lorin.crawford.jpg
78  ,78.0  ,Akbar Cook                 ,Principal of a High School                                                 ,Community     ,43.0 ,141.4     ,8.33  ,3670.0            ,https://i.kinja-img.com/theroot100/2019/Akbar_Cook2_dly93p.jpg
79  ,79.0  ,MiAngel Cody               ,"Lawyer, Founder of Decarceration Collective"                              ,Community     ,39.0 ,141.1     ,8.29  ,687.0             ,https://i.kinja-img.com/theroot100/2019/MiAngel.Cody.jpg
80  ,80.0  ,Brittany K Barnett         ,"Lawyer, Co-Founder of Buried Alive Project"                               ,Community     ,35.0 ,141.0     ,8.29  ,5717.0            ,https://i.kinja-img.com/theroot100/2019/brittany.barnett.jpg
81  ,81.0  ,Lauren Wesley Wilson       ,"CEO of ColorComm, Inc."                                                   ,Business      ,33.0 ,140.1     ,8.17  ,1916.0            ,https://i.kinja-img.com/theroot100/2019/lauren.wesley.wilson.jpg
82  ,82.0  ,Maya Rupert                ,Campaign Manager for Julian Castro                                         ,Politics      ,38.0 ,140.1     ,8.17  ,16422.0           ,https://i.kinja-img.com/theroot100/2019/maya.rupert.jpg
83  ,83.0  ,Brandi Collins-Dexter      ,Senior Campaign Director of Color of Change                                ,Community     ,38.0 ,139.0     ,6.11  ,1350.0            ,https://i.kinja-img.com/theroot100/2019/brandi.collins-dexter2_fhflle.jpg
84  ,84.0  ,Dantley Davis              ,Vice President of Design and Research at Twitter                           ,STEM          ,42.0 ,138.8     ,8.02  ,7451.0            ,https://i.kinja-img.com/theroot100/2019/dantley.davis.jpg
85  ,85.0  ,Meghan Markle              ,Duchess of Sussex                                                          ,Community     ,38.0 ,138.7     ,8.01  ,0.0               ,https://i.kinja-img.com/theroot100/2019/meghan.markle.jpg
86  ,86.0  ,Kamilah Forbes             ,Executive Producer of the Apollo Theatre                                   ,Arts          ,43.0 ,138.4     ,7.97  ,1596.0            ,https://i.kinja-img.com/theroot100/2019/kamilah.forbes.jpg
87  ,87.0  ,Chaédria LaBouvier         ,"Journalist, Curator"                                                      ,Arts          ,34.0 ,137.4     ,7.87  ,7006.0            ,https://i.kinja-img.com/theroot100/2019/chaedria.labouvier.jpg
88  ,88.0  ,Diamond Stingily           ,"Artist, Poet"                                                             ,Arts          ,29.0 ,135.4     ,7.64  ,565.0             ,https://i.kinja-img.com/theroot100/2019/diamond.stingily.jpg
89  ,89.0  ,Alexandra Bell             ,Multimedia Artist                                                          ,Arts          ,36.0 ,135.1     ,8.53  ,1862.0            ,https://i.kinja-img.com/theroot100/2019/Alexandra-Bell-2_qvopge.jpg
90  ,90.0  ,Denise Woodard             ,Founder of Partake Foods                                                   ,Business      ,36.0 ,135.0     ,7.59  ,523.0             ,https://i.kinja-img.com/theroot100/2019/denise.woodard.jpg
91  ,91.0  ,Jarrid Tingle              ,"Venture Capitalist, Entrepreneur"                                         ,Business      ,27.0 ,129.7     ,5.93  ,0.0               ,https://i.kinja-img.com/theroot100/2019/jarrid.tingle.jpg
92  ,92.0  ,Naomi Washington-Leapheart ,Faith Work Director at the National LGBTQ Task Force                       ,Community     ,37.0 ,128.7     ,5.83  ,1140.0            ,https://i.kinja-img.com/theroot100/2019/naomi.washington-leapheart.jpg
93  ,93.0  ,Marcus Bullock             ,"App Developer, Entrepreneur"                                              ,Community     ,39.0 ,122.8     ,7.05  ,790.0             ,https://i.kinja-img.com/theroot100/2019/marcus.bullock.jpg
94  ,94.0  ,Kiki Ayers                 ,Publicist                                                                  ,Business      ,29.0 ,122.2     ,7.41  ,21111.0           ,https://i.kinja-img.com/theroot100/2019/kiki.ayers.jpg
95  ,95.0  ,Raniyah Coperland          ,CEO of Black AIDS Institute                                                ,Community     ,34.0 ,120.5     ,6.05  ,106.0             ,https://i.kinja-img.com/theroot100/2019/Raniyah.Copeland.jpg
96  ,96.0  ,Delano Dunn                ,Visual Artist                                                              ,Arts          ,41.0 ,119.3     ,5.93  ,135.0             ,https://i.kinja-img.com/theroot100/2019/delano.dunn.jpg
97  ,97.0  ,Dorian Burton              ,Assistant Executive Director at William R Kenan Jr. Charitable Trust       ,Community     ,37.0 ,117.8     ,5.76  ,1962.0            ,https://i.kinja-img.com/theroot100/2019/dorian.burton.jpg
98  ,98.0  ,William Tarpeh             ,Professor                                                                  ,STEM          ,28.0 ,111.5     ,3.43  ,1019.0            ,https://i.kinja-img.com/theroot100/2019/william.tarpeh.jpg
99  ,99.0  ,Brooke Obie                ,Managing Editor at Shadow & Act                                            ,Media         ,33.0 ,114.9     ,6.18  ,6388.0            ,https://i.kinja-img.com/theroot100/2019/brooke.obie.jpg
100 ,100.0 ,Elizabeth Lindsey          ,"Executive Director, ByteBack"                                             ,STEM          ,39.0 ,107.4     ,7.8   ,1449.0            ,https://i.kinja-img.com/theroot100/2019/elizabeth.lindsey.jpg
