id   ,Date      ,State                    ,Total Confirmed Cases ,Total Deaths
177  ,Fri 9/3   ,Guam                     ,12075                 ,152
178  ,Fri 9/3   ,Hawaii                   ,63722                 ,610
179  ,Fri 9/3   ,Idaho                    ,225604                ,2380
180  ,Fri 9/3   ,Illinois                 ,1542870               ,26614
181  ,Fri 9/3   ,Indiana                  ,876850                ,14570
182  ,Fri 9/3   ,Iowa                     ,408390                ,6307
183  ,Fri 9/3   ,Kansas                   ,378244                ,5657
184  ,Fri 9/3   ,Kentucky                 ,595200                ,7907
185  ,Fri 9/3   ,Louisiana                ,696900                ,12707
186  ,Fri 9/3   ,Maine                    ,77578                 ,940
187  ,Fri 9/3   ,Maryland                 ,501259                ,10051
188  ,Fri 9/3   ,Massachusetts            ,765584                ,18286
189  ,Fri 9/3   ,Michigan                 ,1069220               ,21657
190  ,Fri 9/3   ,Minnesota                ,655511                ,7937
191  ,Fri 9/3   ,Mississippi              ,446863                ,8540
192  ,Fri 9/3   ,Missouri                 ,783703                ,11343
193  ,Fri 9/3   ,Montana                  ,129607                ,1811
194  ,Fri 9/3   ,Nebraska                 ,247320                ,2599
195  ,Fri 9/3   ,Nevada                   ,394595                ,6583
196  ,Fri 9/3   ,New Hampshire            ,108713                ,1426
197  ,Fri 9/3   ,New Jersey               ,1098526               ,26929
198  ,Fri 9/3   ,New Mexico               ,235390                ,4554
199  ,Fri 9/3   ,New York                 ,2291562               ,53949
200  ,Fri 9/3   ,North Carolina           ,1238947               ,14726
201  ,Fri 9/3   ,North Dakota             ,118963                ,1596
202  ,Fri 9/3   ,Northern Mariana Islands ,243                   ,2
203  ,Fri 9/3   ,Ohio                     ,1241268               ,20947
204  ,Fri 9/3   ,Oklahoma                 ,560850                ,8001
205  ,Fri 9/3   ,Oregon                   ,283873                ,3281
206  ,Fri 9/3   ,Pennsylvania             ,1311722               ,28352
207  ,Fri 9/3   ,Puerto Rico              ,206076                ,2898
208  ,Fri 9/3   ,Rhode Island             ,163742                ,2773
209  ,Fri 9/3   ,South Carolina           ,752378                ,10781
210  ,Fri 9/3   ,South Dakota             ,133855                ,2072
211  ,Fri 9/3   ,Tennessee                ,1051250               ,13522
212  ,Fri 9/3   ,Texas                    ,3677129               ,58157
213  ,Fri 9/3   ,Utah                     ,469510                ,2658
214  ,Fri 9/3   ,Vermont                  ,28703                 ,280
215  ,Fri 9/3   ,Virgin Islands           ,5961                  ,57
216  ,Fri 9/3   ,Virginia                 ,778167                ,11899
217  ,Fri 9/3   ,Washington               ,577569                ,6749
218  ,Fri 9/3   ,West Virginia            ,194507                ,3117
219  ,Fri 9/3   ,Wisconsin                ,741412                ,8521
220  ,Fri 9/3   ,Wyoming                  ,77206                 ,858
221  ,Sat 9/4   ,Alabama                  ,719280                ,12414
222  ,Sat 9/4   ,Alaska                   ,89927                 ,431
223  ,Sat 9/4   ,Arizona                  ,1027359               ,18997
224  ,Sat 9/4   ,Arkansas                 ,462723                ,7038
225  ,Sat 9/4   ,California               ,4508025               ,66388
226  ,Sat 9/4   ,Colorado                 ,625672                ,7370
227  ,Sat 9/4   ,Connecticut              ,375135                ,8394
228  ,Sat 9/4   ,Delaware                 ,121744                ,1891
229  ,Sat 9/4   ,District of Columbia     ,55918                 ,1162
230  ,Sat 9/4   ,Florida                  ,3308916               ,46324
231  ,Sat 9/4   ,Georgia                  ,1401865               ,22373
232  ,Sat 9/4   ,Guam                     ,12168                 ,152
233  ,Sat 9/4   ,Hawaii                   ,64597                 ,611
234  ,Sat 9/4   ,Idaho                    ,225604                ,2380
235  ,Sat 9/4   ,Illinois                 ,1542870               ,26614
236  ,Sat 9/4   ,Indiana                  ,876850                ,14570
237  ,Sat 9/4   ,Iowa                     ,411577                ,6307
238  ,Sat 9/4   ,Kansas                   ,378244                ,5657
239  ,Sat 9/4   ,Kentucky                 ,595779                ,7910
240  ,Sat 9/4   ,Louisiana                ,696900                ,12707
241  ,Sat 9/4   ,Maine                    ,78069                 ,940
242  ,Sat 9/4   ,Maryland                 ,502453                ,10061
243  ,Sat 9/4   ,Massachusetts            ,765584                ,18286
244  ,Sat 9/4   ,Michigan                 ,1069220               ,21657
245  ,Sat 9/4   ,Minnesota                ,655511                ,7937
246  ,Sat 9/4   ,Mississippi              ,446863                ,8540
247  ,Sat 9/4   ,Missouri                 ,786097                ,11348
248  ,Sat 9/4   ,Montana                  ,129607                ,1811
249  ,Sat 9/4   ,Nebraska                 ,247320                ,2599
250  ,Sat 9/4   ,Nevada                   ,394595                ,6583
251  ,Sat 9/4   ,New Hampshire            ,108713                ,1426
252  ,Sat 9/4   ,New Jersey               ,1100774               ,26942
253  ,Sat 9/4   ,New Mexico               ,235390                ,4554
254  ,Sat 9/4   ,New York                 ,2294936               ,53965
255  ,Sat 9/4   ,North Carolina           ,1239293               ,14726
256  ,Sat 9/4   ,North Dakota             ,119383                ,1596
257  ,Sat 9/4   ,Northern Mariana Islands ,243                   ,2
258  ,Sat 9/4   ,Ohio                     ,1247637               ,20947
259  ,Sat 9/4   ,Oklahoma                 ,560850                ,8001
260  ,Sat 9/4   ,Oregon                   ,283873                ,3281
261  ,Sat 9/4   ,Pennsylvania             ,1316505               ,28380
262  ,Sat 9/4   ,Puerto Rico              ,206914                ,2907
263  ,Sat 9/4   ,Rhode Island             ,163742                ,2773
264  ,Sat 9/4   ,South Carolina           ,752378                ,10781
265  ,Sat 9/4   ,South Dakota             ,133855                ,2072
266  ,Sat 9/4   ,Tennessee                ,1051363               ,13522
267  ,Sat 9/4   ,Texas                    ,3693335               ,58422
268  ,Sat 9/4   ,Utah                     ,469510                ,2658
269  ,Sat 9/4   ,Vermont                  ,28884                 ,281
270  ,Sat 9/4   ,Virgin Islands           ,5961                  ,57
271  ,Sat 9/4   ,Virginia                 ,778167                ,11899
272  ,Sat 9/4   ,Washington               ,577569                ,6749
273  ,Sat 9/4   ,West Virginia            ,196484                ,3124
274  ,Sat 9/4   ,Wisconsin                ,741412                ,8521
275  ,Sat 9/4   ,Wyoming                  ,77206                 ,858
276  ,Sun 9/5   ,Alabama                  ,722122                ,12415
277  ,Sun 9/5   ,Alaska                   ,89927                 ,431
278  ,Sun 9/5   ,Arizona                  ,1030430               ,18998
279  ,Sun 9/5   ,Arkansas                 ,463795                ,7057
280  ,Sun 9/5   ,California               ,4518576               ,66481
281  ,Sun 9/5   ,Colorado                 ,626600                ,7375
282  ,Sun 9/5   ,Connecticut              ,375135                ,8394
283  ,Sun 9/5   ,Delaware                 ,122111                ,1891
284  ,Sun 9/5   ,District of Columbia     ,55918                 ,1162
285  ,Sun 9/5   ,Florida                  ,3308916               ,46324
286  ,Sun 9/5   ,Georgia                  ,1401865               ,22373
287  ,Sun 9/5   ,Guam                     ,12168                 ,152
