id  ,City                                   ,State ,Low estimate ,Best Guess ,High estimate ,Source1
69  ,"Boston, MA"                           ,MA    ,175000.0     ,175000.0   ,175000.0      ,http://whdh.com/news/175000-rally-on-boston-common-for-womens-march/
70  ,"Bozeman, MT"                          ,MT    ,13.0         ,13.0       ,13.0          ,https://twitter.com/MadamHerpadurp/status/823031787211235328
71  ,"Breen, CO"                            ,CO    ,1.0          ,1.0        ,1.0           ,via email (JP)
72  ,"Bridgewater, MA"                      ,MA    ,12.0         ,12.0       ,12.0          ,http://www.enterprisenews.com/news/20170121/bridgewater-residents-protest-trump---with-peace
73  ,"Brighton, MI"                         ,MI    ,300.0        ,300.0      ,300.0         ,http://www.livingstondaily.com/story/news/local/2017/01/21/hundreds-rally-brighton-mill-pond/96884294/
74  ,"Brattleboro, VT"                      ,VT    ,200.0        ,225.0      ,250.0         ,FB
75  ,"Brookings, OR"                        ,OR    ,250.0        ,275.0      ,300.0         ,organizer headcount onsite
76  ,"Broomfield, CO"                       ,CO    ,100.0        ,150.0      ,200.0         ,onsite eyewtiness took head count w photo via google form
77  ,"Brownsville, TX"                      ,TX    ,300.0        ,341.0      ,390.0         ,http://www.brownsvilleherald.com/news/local/article_f670f8cc-e037-11e6-b9b5-9398a778b088.html
78  ,"Brunswick, ME"                        ,ME    ,300.0        ,345.0      ,400.0         ,Press Herald
79  ,"Buffalo, NY"                          ,NY    ,2500.0       ,2725.0     ,3000.0        ,http://www.wgrz.com/mb/news/local/hundreds-gather-in-buffalo-for-womens-march/389611887
80  ,"Burbank, CA"                          ,CA    ,300.0        ,300.0      ,300.0         ,http://myburbank.com/01/news/womens-march-burbank-brings-families-kids-mothers/
81  ,"Burns, OR"                            ,OR    ,20.0         ,20.0       ,20.0          ,FB
82  ,"Burnsville, NC"                       ,NC    ,80.0         ,80.0       ,80.0          ,"onsite eyewitness w photo headcount, via google form"
83  ,Cambridge                              ,MN    ,22.0         ,22.0       ,22.0          ,FB
84  ,"Canton, NY"                           ,NY    ,135.0        ,218.0      ,300.0         ,https://twitter.com/matt_carotenuto/status/823121233659174912
85  ,"Cape Henlopen, DE"                    ,DE    ,250.0        ,250.0      ,250.0         ,http://www.capegazette.com/article/peaceful-march-along-lewes-beach-takes-stand-women’s-rights/124227
86  ,"Carbondale, CO"                       ,CO    ,200.0        ,425.0      ,700.0         ,http://www.postindependent.com/priority/main-carousel/women-march-in-colorado-dc-around-world-to-resist-trump/
87  ,"Carbondale, IL"                       ,IL    ,1000.0       ,1900.0     ,3000.0        ,http://thesouthern.com/news/local/communities/carbondale/hundreds-gather-in-carbondale-to-march-for-human-rights/article_616ca5a9-dd07-57da-9a8e-ee3a9317bd05.html
88  ,"Carmel, CA"                           ,CA    ,15.0         ,20.0       ,25.0          ,onsite eyewitness headcount w photos via google form
89  ,"Casper, WY"                           ,WY    ,700.0        ,835.0      ,1000.0        ,https://pitchengine.com/oilcity/2017/01/21/caspers-womens-march--from-above/002519172678172300726
